"","x"
"1","Adelaide_River_virus"
"2","African_horse_sickness_virus"
"3","Aichi_virus"
"4","Akabane_virus"
"5","Allpaahuayo_virus"
"6","Amapari_virus"
"7","Andes_virus"
"8","Anopheles_A_virus"
"9","Anopheles_B_virus"
"10","Apoi_virus"
"11","Araguari_virus"
"12","Aravan_virus"
"13","Arumowot_virus"
"14","Aura_virus"
"15","Baboon_orthoreovirus"
"16","Bakau_virus"
"17","Bangui_virus"
"18","Barur_virus"
"19","Bayou_virus"
"20","Bear_Canyon_virus"
"21","Bebaru_virus"
"22","Berrimah_virus"
"23","Bhanja_virus"
"24","Bimiti_virus"
"25","Bivens_Arm_virus"
"26","Black_Creek_Canal_virus"
"27","Bluetongue_virus"
"28","Border_disease_virus"
"29","Borna_disease_virus"
"30","Bouboui_virus"
"31","Bovine_astrovirus"
"32","Bovine_coronavirus"
"33","Bovine_enteric_calicivirus_strain_NB"
"34","Bovine_ephemeral_fever_virus"
"35","Bovine_foamy_virus"
"36","Bovine_immunodeficiency_virus"
"37","Bovine_leukemia_virus"
"38","Bovine_norovirus-CH126"
"39","Bovine_norovirus-Jena"
"40","Bovine_parainfluenza_virus_3"
"41","Bovine_respiratory_syncytial_virus"
"42","Bovine_torovirus"
"43","Bovine_viral_diarrhea_virus_2"
"44","Bujaru_virus"
"45","Bukalasa_bat_virus"
"46","Bunyamwera_virus"
"47","Bwamba_virus"
"48","Cabassou_virus"
"49","California_encephalitis_virus"
"50","Candiru_virus"
"51","Canine_calicivirus"
"52","Canine_coronavirus"
"53","Canine_distemper_virus"
"54","Cano_Delgadito_virus"
"55","Caprine_arthritis_encephalitis_virus"
"56","Caraparu_virus"
"57","Carey_Island_virus"
"58","Catu_virus"
"59","Cetacean_morbillivirus_virus"
"60","Chagres_virus"
"61","Chandipura_virus"
"62","Changuinola_virus"
"63","Chobar_Gorge_virus"
"64","Classical_swine_fever_virus"
"65","Cocal_virus"
"66","Cote_d'Ivoire_ebolavirus"
"67","Cowbone_Ridge_virus"
"68","Crimean-Congo_hemorrhagic_fever_virus"
"69","Cupixi_virus"
"70","Dakar_bat_virus"
"71","Dera_Ghazi_Khan_virus"
"72","Dobrava-Belgrade_virus"
"73","Dugbe_virus"
"74","Duvenhage_virus"
"75","El_Moro_Canyon_virus"
"76","Encephalomyocarditis_virus"
"77","Entebbe_bat_virus"
"78","Epizootic_hemorrhagic_disease_virus"
"79","Equine_arteritis_virus"
"80","Equine_encephalosis_virus"
"81","Equine_foamy_virus"
"82","Equine_infectious_anemia_virus"
"83","Equine_rhinitis_B_virus"
"84","Equine_torovirus"
"85","Eubenangee_virus"
"86","European_bat_lyssavirus_1"
"87","European_bat_lyssavirus_2"
"88","European_brown_hare_syndrome_virus"
"89","Feline_astrovirus"
"90","Feline_calicivirus"
"91","Feline_coronavirus"
"92","Feline_foamy_virus"
"93","Feline_immunodeficiency_virus"
"94","Feline_leukemia_virus"
"95","Flexal_virus"
"96","Gan_Gan_virus"
"97","GB_virus_A"
"98","GB_virus_B"
"99","GB_virus_C"
"100","Gibbon_ape_leukemia_virus"
"101","Guama_virus"
"102","Guanarito_virus"
"103","Guaroa_virus"
"104","Guinea_pig_type-C_oncovirus"
"105","Hantaan_virus"
"106","Hendra_virus"
"107","Hepatitis_A_virus"
"108","Hepatitis_C_virus"
"109","Hepatitis_E_virus"
"110","Human_astrovirus"
"111","Human_coronavirus_OC43"
"112","Human_enterovirus_A"
"113","Human_enterovirus_B"
"114","Human_enterovirus_C"
"115","Human_enterovirus_D"
"116","Human_norovirus-Alphatron"
"117","Human_parainfluenza_virus_1"
"118","Human_parainfluenza_virus_2"
"119","Human_parainfluenza_virus_3"
"120","Human_parainfluenza_virus_4"
"121","Human_parechovirus"
"122","Human_respiratory_syncytial_virus"
"123","Human_rhinovirus_A"
"124","Human_rhinovirus_B"
"125","Ife_virus"
"126","Influenza_C_virus"
"127","Ippy_virus"
"128","Irkut_virus"
"129","Isfahan_virus"
"130","Isla_Vista_virus"
"131","Issyk-Kul_virus"
"132","Itaporanga_virus"
"133","Jaagsiekte_sheep_retrovirus"
"134","Japanaut_virus"
"135","Jugra_virus"
"136","Junin_virus"
"137","Jurona_virus"
"138","Jutiapa_virus"
"139","Kaeng_Khoi_virus"
"140","Kairi_virus"
"141","Kasokero_virus"
"142","Kern_Canyon_virus"
"143","Keuraliba_virus"
"144","Khabarovsk_virus"
"145","Khujand_virus"
"146","Koongol_virus"
"147","Kotonkan_virus"
"148","Koutango_virus"
"149","Kyasanur_Forest_disease_virus"
"150","Lactate_dehydrogenase-elevating_virus"
"151","Lagos_bat_virus"
"152","Laguna_Negra_virus"
"153","Lake_Victoria_marburgvirus"
"154","Langur_virus"
"155","Lassa_virus"
"156","Latino_virus"
"157","Ljungan_virus"
"158","Lymphocytic_choriomeningitis_virus"
"159","Machupo_virus"
"160","Madrid_virus"
"161","Main_Drain_virus"
"162","Manzanilla_virus"
"163","Mapuera_virus"
"164","Maraba_virus"
"165","Marituba_virus"
"166","Mason-Pfizer_monkey_virus"
"167","Measles_virus"
"168","Menangle_virus"
"169","Middelburg_virus"
"170","Minatitlan_virus"
"171","Mink_astrovirus"
"172","Mink_calicivirus"
"173","Mink_enteric_sapovirus"
"174","Mobala_virus"
"175","Modoc_virus"
"176","Mokola_virus"
"177","Moloney_murine_sarcoma_virus"
"178","Montana_myotis_leukoencephalitis_virus"
"179","Mopeia_virus"
"180","Mosso_das_Pedras_virus_78V3531"
"181","Mount_Elgon_bat_virus"
"182","Mouse_mammary_tumor_virus"
"183","Muleshoe_virus"
"184","Mumps_virus"
"185","Murine_hepatitis_virus"
"186","Murine_leukemia_virus"
"187","Murine_norovirus_1"
"188","Murine_pneumonia_virus"
"189","Nariva_virus"
"190","New_York_virus"
"191","Newcastle_disease_virus"
"192","Nipah_virus"
"193","Nyando_virus"
"194","Oita_virus"
"195","Okola_virus"
"196","Oliveros_virus"
"197","Oriboca_virus"
"198","Oropouche_virus"
"199","Ovine_astrovirus"
"200","Palyam_virus"
"201","Pampa_virus"
"202","Parainfluenza_virus_5"
"203","Parana_virus"
"204","Patois_virus"
"205","Peruvian_horse_sickness_virus"
"206","Peste-des-petits-ruminants_virus"
"207","Phnom_Penh_bat_virus"
"208","Phocine_distemper_virus"
"209","Pichinde_virus"
"210","Pirital_virus"
"211","Piry_virus"
"212","Poliovirus"
"213","Porcine_astrovirus"
"214","Porcine_enteric_sapovirus"
"215","Porcine_enterovirus_A"
"216","Porcine_enterovirus_B"
"217","Porcine_epidemic_diarrhea_virus"
"218","Porcine_hemagglutinating_encephalomyelitis_virus"
"219","Porcine_reproductive_and_respiratory_syndrome_virus"
"220","Porcine_rubulavirus"
"221","Porcine_teschovirus"
"222","Porcine_torovirus"
"223","Porcine_type-C_oncovirus"
"224","Prospect_Hill_virus"
"225","Puma_lentivirus"
"226","Punta_Toro_virus"
"227","Puumala_virus"
"228","Qalyub_virus"
"229","Quaranfil_virus"
"230","Rabbit_coronavirus"
"231","Rabbit_hemorrhagic_disease_virus"
"232","Rabies_virus"
"233","Rat_coronavirus"
"234","Rift_Valley_fever_virus"
"235","Rinderpest_virus"
"236","Rio_Mamore_virus"
"237","Rio_Segundo_virus"
"238","Rotavirus_E"
"239","Sabia_virus"
"240","Saboya_virus"
"241","Sal_Vieja_virus"
"242","Salehabad_virus"
"243","Salem_virus"
"244","San_Perlita_virus"
"245","Sandfly_fever_Naples_virus"
"246","Sandfly_fever_Sicilian_virus"
"247","Sathuperi_virus"
"248","Sendai_virus"
"249","Seoul_virus"
"250","Sepik_virus"
"251","Shamonda_virus"
"252","Shuni_virus"
"253","Simbu_virus"
"254","Simian_enterovirus_A"
"255","Simian_hemorrhagic_fever_virus"
"256","Simian_virus_10"
"257","Simian_virus_5"
"258","Sin_Nombre_virus"
"259","Southern_elephant_seal_virus"
"260","Squirrel_monkey_retrovirus"
"261","Swine_norovirus"
"262","Tacaiuma_virus"
"263","Tacaribe_virus"
"264","Tamana_bat_virus"
"265","Tamdy_virus"
"266","Tamiami_virus"
"267","Tataguine_virus"
"268","Thailand_virus"
"269","Theilovirus"
"270","Thiafora_virus"
"271","Thottapalayam_virus"
"272","Tioman_virus"
"273","Topografov_virus"
"274","Transmissible_gastroenteritis_virus"
"275","Trubanaman_virus"
"276","Tula_virus"
"277","Tupaia_paramyxovirus"
"278","Turlock_virus"
"279","Upolu_virus"
"280","Uukuniemi_virus"
"281","Vesicular_stomatitis_Alagoas_virus"
"282","Vesicular_stomatitis_Indiana_virus"
"283","Vesicular_stomatitis_New_Jersey_virus"
"284","Visna/maedi_virus"
"285","Wad_Medani_virus"
"286","Wallal_virus"
"287","Walrus_calicivirus"
"288","Wanowrie_virus"
"289","Warrego_virus"
"290","West_Caucasian_bat_virus"
"291","Whitewater_Arroyo_virus"
"292","Witwatersrand_virus"
"293","Wongorr_virus"
"294","Woolly_monkey_sarcoma_virus"
"295","Wyeomyia_virus"
"296","Yogue_virus"
"297","Yokose_virus"
"298","Zegla_virus"
